EFFICIENCY,IDLE,POWER,DAIMLER,YEARS
3.152,30.78,19.46,1,4
3.055,28.42,20.51,1,4
2.640,39.40,19.94,1,4
2.905,38.48,18.52,1,5
3.617,13.64,22.01,1,5
3.130,28.47,21.07,1,5
2.784,19.06,43.96,0,2
2.764,25.51,40.07,0,1
2.967,24.65,22.02,1,4
3.206,15.43,24.49,1,5
3.069,19.38,26.56,1,6
2.835,24.28,42.09,0,4
3.013,23.71,27.03,1,5
3.197,23.24,20.48,1,6
2.733,35.08,20.50,1,5
2.666,28.64,23.99,1,6
2.794,24.41,45.07,0,4
3.267,41.83,15.55,1,4
2.800,30.48,43.00,0,2
2.948,24.00,23.96,1,5
3.225,16.96,37.98,0,2
2.712,21.87,43.99,0,2
3.264,25.28,37.00,0,3
2.884,25.74,40.91,0,3
2.668,17.13,27.97,1,4
2.972,34.23,17.50,1,6
2.654,38.05,21.01,1,4
2.707,21.72,43.05,0,3
2.780,39.87,20.50,1,5
3.041,31.51,20.45,1,4
3.093,22.93,21.96,1,4
2.940,27.80,41.01,0,3
2.465,59.40,42.05,0,3
2.949,31.11,23.52,1,5
3.230, 9.49,31.40,1,5
2.883,23.49,26.51,1,5
3.337,16.71,23.96,1,4
2.920,13.74,42.14,0,2
3.045,26.27,21.96,1,5
3.098,25.36,21.46,1,4
2.910,23.96,42.04,0,4
2.957,19.69,25.54,1,4
2.820,39.71,17.59,1,4
3.356,46.13,11.02,1,6
3.029,39.00,18.53,1,6
3.125,22.21,24.56,1,4
3.185,12.96,42.03,0,2
3.258,19.34,22.03,1,4
2.970,19.70,23.01,1,5
2.737,37.30,43.10,0,4
2.869,23.92,38.00,0,2
2.844,22.51,23.58,1,4
2.959,27.62,20.91,1,6
3.997,25.46,17.48,1,5
3.030,23.02,39.06,0,4
2.931,23.24,40.04,0,3
2.628,50.39,11.93,1,6
2.998,35.81,20.53,1,4
3.228,19.39,23.97,1,5
2.929,17.82,28.98,1,5
2.815,19.82,43.95,0,5
2.819,20.14,23.50,1,6
2.418,28.39,43.00,0,2
2.790,23.72,45.00,0,2
2.497,38.60,47.02,0,5
2.520,40.97,20.03,1,5
3.127,31.31,20.45,1,4
2.880,17.04,24.09,1,4
3.062,17.43,25.94,1,6
2.558,16.86,30.05,1,4
2.910,20.55,24.91,1,4
2.874,18.60,44.97,0,2
2.977,27.81,38.99,0,3
2.700,21.04,44.02,0,2
2.902,15.76,28.54,1,4
2.779,32.52,45.03,0,2
2.917,25.59,44.01,0,3
2.517,23.68,44.08,0,2
3.327,24.66,21.05,1,5
2.611,20.72,44.04,0,5
2.806, 8.17,45.98,0,2
2.965,27.88,22.46,1,5
2.683,17.82,26.51,1,4
2.917,10.47,31.96,1,4
3.014,18.85,39.03,0,3
2.596,13.56,45.03,0,2
3.068,17.57,26.02,1,6
2.840,25.42,24.97,1,5
3.253,16.08,35.97,0,2
3.447,11.67,25.01,1,5
2.965,14.19,30.54,1,5
2.718,23.02,27.02,1,5
3.385,14.58,26.95,1,5
3.662,13.00,23.45,1,4
2.612,29.12,41.00,0,1
3.164,24.66,23.02,1,4
3.099,21.68,24.96,1,4
3.002,17.03,28.11,1,5
3.063,17.42,28.48,1,5
2.655,34.18,22.36,1,5
2.807,12.63,41.98,0,2
2.894,20.40,41.96,0,5
2.829,13.89,26.45,1,6
2.843,37.31,19.54,1,5
2.686,42.47,41.95,0,5
2.609,24.37,42.11,0,5
2.687,43.97,18.49,1,5
2.919,19.83,42.96,0,3
2.752,21.50,41.98,0,3
2.972,22.02,24.44,1,4
2.977,31.34,21.52,1,4
2.957,28.55,24.04,1,4
2.595,28.90,23.62,1,6
2.930,44.41,39.96,0,5
3.033,46.12,15.12,1,4
2.998,23.06,24.99,1,4
3.026,25.06,25.53,1,4
2.953,26.01,19.89,1,4
2.731,35.08,21.61,1,4
2.966,12.71,25.53,1,5
2.639,27.56,43.97,0,2
3.187,21.83,23.95,1,5
2.936,28.93,40.09,0,3
2.673,20.84,27.03,1,5
2.917,19.78,42.98,0,2
3.034,27.76,23.02,1,4
2.911,21.25,39.97,0,2
2.904,25.71,23.57,1,5
2.915,20.07,24.47,1,4
3.251,10.83,39.97,0,2
2.707,17.52,25.98,1,5
3.330,17.46,23.93,1,4
2.538,30.30,43.03,0,5
3.631,13.03,24.47,1,4
2.790,18.77,28.01,1,5
2.995,31.58,18.03,1,4
2.515,24.87,45.05,0,4
3.445,29.11,24.43,1,4
3.064,13.80,28.09,1,5
3.060,35.63,18.04,1,6
3.133,25.15,24.06,1,4
2.654,30.04,45.02,0,2
3.006,22.94,24.59,1,4
3.112,21.86,22.58,1,6
3.020,28.42,19.02,1,6
3.080,27.63,39.08,0,2
2.815,29.13,20.95,1,4
2.680,20.73,44.96,0,2
3.169,32.21,38.96,0,3
3.111,19.99,22.46,1,6
2.967,31.48,22.07,1,5
2.857,12.82,43.92,0,2
2.762,12.76,30.41,1,4
2.891,25.86,44.05,0,3
3.089,19.29,27.48,1,4
2.769,37.12,18.53,1,5
3.309,11.39,27.04,1,4
2.831,30.26,20.42,1,6
3.089,15.97,26.47,1,4
2.758,30.40,21.90,1,4
2.917,24.11,25.53,1,4
3.127,15.43,27.43,1,5
2.960,22.99,24.58,1,5
3.189,14.87,23.03,1,5
2.732,19.04,28.48,1,5
2.779,15.93,42.02,0,3
2.885,17.65,28.54,1,5
3.060,19.24,25.07,1,4
3.251,32.80,18.49,1,4
3.013,11.75,40.09,0,2
2.841,19.76,45.11,0,2
2.669,25.44,42.01,0,2
2.729,40.71,21.50,1,5
2.725,37.54,18.53,1,4
3.017,41.99,23.98,1,4
3.093,29.11,20.02,1,5
2.966,14.96,25.05,1,5
3.224,19.46,24.50,1,5
3.103,26.33,40.00,0,3
2.986,30.72,20.01,1,4
2.974,25.70,41.89,0,2
2.931,23.04,24.05,1,4
2.736, 9.10,46.94,0,2
2.667,33.91,39.02,0,3
3.578,13.20,25.51,1,4
3.198,19.19,23.00,1,5
3.000,43.16,15.46,1,4
2.702,25.77,24.54,1,4
2.714,19.76,44.99,0,3
2.450,18.90,32.60,1,5
3.202,24.96,23.00,1,4
2.869,22.68,43.99,0,2
2.894,23.78,22.54,1,4
2.927,22.78,41.98,0,2
2.807,16.20,44.98,0,2
3.157,15.51,27.05,1,5
3.111,16.90,26.48,1,5
2.651,34.03,21.00,1,5
2.830,16.31,34.50,1,6
2.787,40.53,43.11,0,3
3.162,17.93,20.63,1,6
3.088,31.79,40.06,0,2
2.865,28.17,24.46,1,5
3.006,25.05,41.02,0,3
3.019,36.81,19.89,1,5
2.947,23.37,40.93,0,3
2.876,18.50,26.53,1,4
2.815,29.56,21.49,1,4
3.110,31.75,16.92,1,6
