Observation,Resistance,Cement,Gravel,Additives,Water,Sand
479,225.6,209.86,841.00,1043.30,136.86,945.86
480,295.7,264.00,839.24,2633.76,226.62,863.71
481,261.7,236.00,712.77,2351.98,226.34,1007.54
482,253.2,210.00,839.29,1043.30,129.14,953.43
483,188.9,211.43,841.00,1043.30,142.86,933.71
484,235.5,221.13,839.50,2190.94,219.69,931.25
485,233.4,232.13,710.00,2311.03,225.75,1018.13
486,193.8,208.71,840.43,1043.30,128.57,949.57
487,310.5,262.57,842.57,2643.04,229.21,871.43
488,343.1,255.00,839.71,2531.75,220.04,900.14
489,188.9,194.00,842.57,1938.23,220.89,943.71
490,250.4,231.75,734.13,2312.66,230.83,971.00
491,266.7,231.92,736.67,2312.66,231.61,961.42
492,164.8,192.75,867.33,1939.39,221.38,916.25
493,211.5,192.82,872.55,1938.65,219.39,925.45
494,172.6,190.00,870.00,1891.86,216.05,941.29
495,205.8,237.25,874.50,2337.00,234.22,878.75
496,250.4,220.93,869.87,2207.17,218.04,911.60
497,210.1,193.75,872.25,1935.33,219.09,926.25
498,142.2,161.86,869.29,1599.73,212.80,968.14
499,193.8,210.86,841.71,1043.30,150.86,929.57
500,203,194.00,869.57,1933.59,220.09,909.86
501,194.5,209.57,840.86,1043.30,155.86,925.86
502,251.8,194.00,871.40,1928.03,220.69,915.00
503,269.5,265.00,715.70,2374.56,137.50,989.80
504,183.2,190.10,870.70,1889.08,224.45,900.10
505,195.2,210.57,838.29,1043.30,156.29,928.29
506,319,268.40,723.20,2384.30,148.40,989.60
507,184.6,190.71,871.57,1891.86,223.38,916.71
508,291.4,282.32,766.00,2542.00,234.43,900.53
509,194.5,208.43,839.71,1043.30,161.86,923.43
510,195.2,187.30,870.10,1850.13,223.21,900.20
511,330.3,263.82,718.09,2378.99,177.27,949.27
512,161.3,210.00,839.29,1043.30,181.43,900.29
513,148.5,184.00,874.20,1850.13,221.42,901.80
514,154.2,186.00,872.50,1850.13,221.68,907.33
515,234.8,189.88,874.00,1910.98,223.59,900.63
